SD1,SD2,SD3,SD4,institute,PI
0.0476,0.0200,0.0007,0.0026,nyu,Fabio Piano
0.0310,0.0029,0.0141,0.0016,nyu,Andreas Hochwagen
0.0104,0.0187,0.0147,0.0119,nyu,Duncan Smith
0.0178,0.0226,0.0255,0.0203,nyu,Rahul Satija
0.0029,0.0379,0.0006,0.0137,nyu,Youssef Idaghdour
0.0529,0.0336,0.0157,0.0002,nyu,David Fitch
0.0338,0.0013,0.0122,0.0012,nyu,Suse Broyde
0.0081,0.0200,0.0201,0.0118,nyu,Christine Vogel
0.0501,0.0292,0.0134,0.0006,nyu,Systems Biology
0.0114,0.0081,0.0035,0.0010,nyu,Michael Rampino
0.0115,0.0033,0.0137,0.0048,nyu,Christine Rushlow
0.0470,0.0028,0.0097,0.0041,nyu,Esteban Mazzoni
0.0004,0.0258,0.0213,0.0041,nyu,Richard Bonneau
0.0143,0.0178,0.0043,0.0032,nyu,Jane Carlton
0.0257,0.0218,0.0732,0.0148,nyu,Alexander Mogilner
0.0501,0.0292,0.0134,0.0006,nyu,Jungseog Kang
0.0250,0.0273,0.0168,0.0038,nyu,Daniel Tranchina
0.0243,0.0037,0.0041,0.0018,nyu,Mary Killilea
0.0341,0.0027,0.0041,0.0074,nyu,Justin Blau
0.0359,0.0050,0.0072,0.0157,nyu,Dipesh Chaudhury
0.0083,0.0036,0.0045,0.0071,nyu,Stephen Small
0.0112,0.0055,0.0055,0.0065,nyu,David Scicchitano
0.0501,0.0292,0.0134,0.0006,nyu,Gang Fang
0.0045,0.0047,0.0150,0.0142,nyu,Ignatius Tan
0.0328,0.0120,0.0516,0.0129,nyu,Elodie Ghedin
0.0501,0.0292,0.0134,0.0006,nyu,Kourosh Salehi-Ashtiani
0.0267,0.0089,0.0006,0.0033,nyu,Eric Brenner
0.0130,0.0148,0.0008,0.0088,nyu,Michael Purugganan
0.0197,0.0082,0.0112,0.0156,nyu,Efrain Azmitia
0.0023,0.0082,0.0037,0.0004,nyu,Patrick Eichenberger
0.0037,0.0061,0.0102,0.0017,nyu,Claude Desplan
0.0762,0.0369,0.0044,0.0132,nyu,Mark Siegal
0.0257,0.0102,0.0037,0.0105,nyu,Kris Gunsalus
0.0024,0.0407,0.0063,0.0210,nyu,Richard Borowsky
0.0295,0.0034,0.0101,0.0044,nyu,Sevinc Ercan
0.0185,0.0574,0.0259,0.0046,nyu,Manpreet Katari
0.0717,0.0163,0.0015,0.0162,nyu,Nikolai Kirov
0.0501,0.0292,0.0134,0.0006,nyu,Katie Paolantonio
0.0542,0.0067,0.0143,0.0055,nyu,Kenneth Birnbaum
0.0164,0.0219,0.0089,0.0464,nyu,Tyler Volk
0.0380,0.0035,0.0122,0.0200,nyu,Matthew Rockman
0.0194,0.0115,0.0094,0.0086,nyu,Lionel Christiaen
0.0034,0.0018,0.0041,0.0015,nyu,Edo Kussell
0.0030,0.0038,0.0044,0.0011,nyu,Gloria Coruzzi
0.0042,0.0208,0.0093,0.0058,nyu,Fei Li
0.0013,0.0383,0.0211,0.0097,nyu,Carol Reiss
0.0333,0.0009,0.0270,0.0108,nyu,Michael Carrozza
0.0387,0.0022,0.0293,0.0025,nyu,Stephane Boissinot
0.0879,0.0859,0.0430,0.0025,sinai,duboislab
0.0649,0.0437,0.0072,0.0021,sinai,papapetrou_lab
0.0418,0.0439,0.0336,0.0103,sinai,Paul Kenny
0.0441,0.0616,0.0383,0.0124,sinai,Paula Croxson
0.0879,0.0859,0.0430,0.0025,sinai,Davies
0.0473,0.0567,0.0296,0.0015,sinai,Roman Osman
0.0024,0.0050,0.0325,0.0132,sinai,Filizio
0.3778,0.0301,0.0139,0.0236,sinai,Zahi Faya
0.0485,0.0891,0.0619,0.0218,sinai,Joel Dudley
0.0789,0.0658,0.0046,0.0558,sinai,Klaud Weiss
0.0340,0.0319,0.0300,0.0065,sinai,Diomedes Logothetis
0.0501,0.0611,0.0306,0.0103,sinai,Spiros Hiotis
0.0679,0.0261,0.0077,0.0114,sinai,Stephen Salton
0.0574,0.2539,0.4705,0.0010,sinai,Hirofumo Morishita
0.0394,0.0682,0.0361,0.0136,sinai,Vladimir Brezina
0.4537,0.0423,0.0202,0.0468,sinai,tang-lab
0.0879,0.0859,0.0430,0.0025,sinai,www.sanchezlab.org
0.0133,0.0267,0.0316,0.0449,sinai,rudebeck
0.0516,0.1221,0.0051,0.0675,sinai,nestler
0.1141,0.1187,0.0623,0.0041,sinai,sinai-labs
0.0329,0.0359,0.0031,0.0126,sinai,ellisdavies
0.0375,0.0222,0.0067,0.0104,sinai,bakellab.mssm.edu
0.0413,0.0343,0.0265,0.0012,sinai,anne-schaefer
0.0213,0.0264,0.0241,0.0145,sinai,zhou.htm
0.0660,0.0929,0.0639,0.0151,sinai,emily-bernstein#bot
0.0703,0.0498,0.0079,0.0073,sinai,zachariou
0.0154,0.0112,0.0087,0.0125,sinai,kennylab
0.0525,0.0010,0.0164,0.0180,sinai,li.html
0.0098,0.0225,0.0305,0.0011,sinai,patients.html
0.0563,0.1279,0.0411,0.0167,sinai,baxter
0.0779,0.1594,0.0362,0.0367,sinai,shapiro
0.0879,0.0859,0.0430,0.0025,sinai,clemente-lab.github.io
0.2831,0.0277,0.0118,0.0134,sinai,rafael-ohalloran
0.0617,0.0665,0.0372,0.0045,sinai,jerry-chipuk#bot
0.0260,0.0263,0.0051,0.0079,sinai,simonyanlab
0.0395,0.0434,0.0050,0.0095,sinai,lm.html
0.0928,0.0920,0.0468,0.0023,sinai,home.htm
0.0864,0.1485,0.0405,0.0109,sinai,clem
0.0879,0.0859,0.0430,0.0025,sinai,gouonevans
0.0634,0.0456,0.0298,0.0014,sinai,mihaela-skobe#bot
0.0427,0.0482,0.0276,0.0053,sinai,zhen-qiang-pan#bot
0.0504,0.0708,0.0373,0.0121,sinai,steven-j-burakoff#bot
0.0000,0.0444,0.0211,0.0023,sinai,casaccia
0.0573,0.0089,0.0064,0.0045,sinai,mobbs
0.0196,0.0350,0.0033,0.0313,sinai,multiscalenetwork
0.0380,0.0116,0.0175,0.0198,sinai,fanglab
0.1005,0.1588,0.0043,0.0176,sinai,benson
0.0537,0.0463,0.0022,0.0113,sinai,sadler.html
0.0233,0.0325,0.0167,0.0164,sinai,faithlab.mssm.edu
0.0522,0.0524,0.0306,0.0087,sinai,isabelle-m-germano#bot
0.0879,0.0859,0.0430,0.0025,sinai,sokol
0.1098,0.0922,0.0876,0.0751,sinai,moores01
0.0784,0.0696,0.0364,0.0022,sinai,cleaned-tagged-text
0.0562,0.0288,0.0183,0.0138,sinai,Home.html
0.0216,0.0333,0.0209,0.0058,sinai,akbarian
0.0410,0.0706,0.0383,0.0154,sinai,cathie-pfleger#bot
0.0523,0.0526,0.0358,0.0062,sinai,stuart-a-aaronson
0.1387,0.0458,0.0340,0.1436,sinai,jinlab
0.0558,0.0427,0.0251,0.0017,sinai,matthew-j-oconnell#bot
0.0530,0.3244,0.0768,0.7505,sinai,shen
0.0398,0.0513,0.0317,0.0042,sinai,mihaly-mezei
0.0723,0.0591,0.0000,0.0106,sinai,morrison
0.0581,0.0526,0.0267,0.0065,sinai,wuh02
0.0879,0.0859,0.0430,0.0025,sinai,index.html
0.2936,0.0257,0.0281,0.0201,sinai,kundu-lab
0.0458,0.0616,0.0374,0.0054,sinai,christoph-schaniel
0.0455,0.0787,0.0407,0.0152,sinai,jose-m-wolosin
0.0155,0.3141,0.8431,0.0026,sinai,www.hoshida-lab.org
0.1939,0.0652,0.1516,0.2037,sinai,Index.htm
0.0048,0.0019,0.0085,0.0300,sinai,bashir
0.0469,0.0418,0.0251,0.0042,sinai,robert-devita
0.0817,0.0881,0.0509,0.0082,sinai,rongchenlab.org
0.0755,0.0725,0.0544,0.0582,sinai,warbup01
0.0454,0.0632,0.0331,0.0067,sinai,qin-yu#bot
0.0025,0.0619,0.0114,0.0125,sinai,hof
0.0879,0.0859,0.0430,0.0025,sinai,rendl-lab.info
0.0140,0.0130,0.0091,0.0006,sinai,avner-schlessinger
0.0626,0.2240,0.0818,0.0233,sinai,zou
0.0618,0.0775,0.0234,0.0396,sinai,kaplan
0.0779,0.0491,0.0141,0.0369,sinai,cropper
0.0410,0.0613,0.0312,0.0039,sinai,james-j-manfredi#bot
0.0327,0.1129,0.0032,0.0946,sinai,integrative-network-biology
0.2558,0.0182,0.0043,0.0113,sinai,mani-lab
0.3474,0.0115,0.0153,0.0202,sinai,mulder-lab
0.0761,0.0587,0.0074,0.0098,sinai,schiller
0.0879,0.0859,0.0430,0.0025,sinai,lab
0.4140,0.0044,0.0182,0.0345,sinai,xu-lab
0.3059,0.0357,0.0030,0.0277,sinai,balchandani-lab
0.0741,0.0504,0.0058,0.0324,sinai,russo
0.0476,0.0462,0.0316,0.0076,sinai,e-premkumar-reddy#bot
0.0178,0.1218,0.0313,0.0736,sinai,slesinger
0.1262,0.6891,0.2491,0.4727,sinai,dickstein
0.0154,0.2666,0.0699,0.0375,sinai,huntley
0.4378,0.0151,0.0064,0.0257,sinai,taouli-lab
0.0051,0.0128,0.0232,0.0434,sinai,fisherlab